"station","valid","tmpf","relh","datetime","date","hour","year","month","doy","temp_c"
"AVQ","2016-05-04 09:55",90.5,9.58,2016-05-04 09:55:00,2016-05-04,9,2016,5,125,32.5
"AVQ","2016-05-04 10:55",93,8.72,2016-05-04 10:55:00,2016-05-04,10,2016,5,125,33.8888888888889
"AVQ","2016-05-04 11:55",95.54,7.15,2016-05-04 11:55:00,2016-05-04,11,2016,5,125,35.3
"AVQ","2016-05-04 12:55",96.62,7.29,2016-05-04 12:55:00,2016-05-04,12,2016,5,125,35.9
"AVQ","2016-05-04 13:55",97.88,6.41,2016-05-04 13:55:00,2016-05-04,13,2016,5,125,36.6
"AVQ","2016-05-04 14:55",99.5,5.65,2016-05-04 14:55:00,2016-05-04,14,2016,5,125,37.5
"AVQ","2016-05-04 15:55",99.5,5.07,2016-05-04 15:55:00,2016-05-04,15,2016,5,125,37.5
"AVQ","2016-05-04 16:55",99.5,5.15,2016-05-04 16:55:00,2016-05-04,16,2016,5,125,37.5
"AVQ","2016-05-04 17:55",98,5.46,2016-05-04 17:55:00,2016-05-04,17,2016,5,125,36.6666666666667
"AVQ","2016-05-04 18:55",93.38,7.3,2016-05-04 18:55:00,2016-05-04,18,2016,5,125,34.1
"AVQ","2016-05-04 19:55",86,9.79,2016-05-04 19:55:00,2016-05-04,19,2016,5,125,30
"AVQ","2016-05-04 20:55",84.2,12.23,2016-05-04 20:55:00,2016-05-04,20,2016,5,125,29
"AVQ","2016-05-04 21:55",80.78,14.72,2016-05-04 21:55:00,2016-05-04,21,2016,5,125,27.1
"AVQ","2016-05-04 22:55",76,17.56,2016-05-04 22:55:00,2016-05-04,22,2016,5,125,24.4444444444444
"AVQ","2016-05-04 23:55",73.22,19.48,2016-05-04 23:55:00,2016-05-04,23,2016,5,125,22.9
"AVQ","2016-05-05 00:55",69.8,23.2,2016-05-05 00:55:00,2016-05-05,0,2016,5,126,21
"AVQ","2016-05-05 01:55",68.72,21.88,2016-05-05 01:55:00,2016-05-05,1,2016,5,126,20.4
"AVQ","2016-05-05 02:55",66.2,24.04,2016-05-05 02:55:00,2016-05-05,2,2016,5,126,19
"AVQ","2016-05-05 03:55",67.28,21.51,2016-05-05 03:55:00,2016-05-05,3,2016,5,126,19.6
"AVQ","2016-05-05 04:55",64.76,24.72,2016-05-05 04:55:00,2016-05-05,4,2016,5,126,18.2
"AVQ","2016-05-05 05:55",64.58,26.39,2016-05-05 05:55:00,2016-05-05,5,2016,5,126,18.1
"AVQ","2016-05-05 06:55",69.8,23.2,2016-05-05 06:55:00,2016-05-05,6,2016,5,126,21
"AVQ","2016-05-05 07:55",74.3,19.2,2016-05-05 07:55:00,2016-05-05,7,2016,5,126,23.5
"AVQ","2016-05-05 08:55",81.14,14.23,2016-05-05 08:55:00,2016-05-05,8,2016,5,126,27.3
"AVQ","2016-05-05 09:55",86.18,11.65,2016-05-05 09:55:00,2016-05-05,9,2016,5,126,30.1
"AVQ","2016-05-05 10:55",88.7,8.92,2016-05-05 10:55:00,2016-05-05,10,2016,5,126,31.5
"AVQ","2016-05-05 11:55",91,5.99,2016-05-05 11:55:00,2016-05-05,11,2016,5,126,32.7777777777778
"AVQ","2016-05-05 12:55",92.84,5.75,2016-05-05 12:55:00,2016-05-05,12,2016,5,126,33.8
"AVQ","2016-05-05 13:55",93.56,5.8,2016-05-05 13:55:00,2016-05-05,13,2016,5,126,34.2
"AVQ","2016-05-05 14:55",94.46,5.73,2016-05-05 14:55:00,2016-05-05,14,2016,5,126,34.7
"AVQ","2016-05-05 15:55",94,5.7,2016-05-05 15:55:00,2016-05-05,15,2016,5,126,34.4444444444444
"AVQ","2016-05-05 16:55",93.38,6.41,2016-05-05 16:55:00,2016-05-05,16,2016,5,126,34.1
"AVQ","2016-05-05 17:55",91.4,7.31,2016-05-05 17:55:00,2016-05-05,17,2016,5,126,33
"AVQ","2016-05-05 18:55",89,7.8,2016-05-05 18:55:00,2016-05-05,18,2016,5,126,31.6666666666667
"AVQ","2016-05-05 19:55",79.88,22.86,2016-05-05 19:55:00,2016-05-05,19,2016,5,126,26.6
"AVQ","2016-05-05 20:55",75.2,28.23,2016-05-05 20:55:00,2016-05-05,20,2016,5,126,24
"AVQ","2016-05-05 21:55",73.4,26.42,2016-05-05 21:55:00,2016-05-05,21,2016,5,126,23
"AVQ","2016-05-05 22:55",72.32,24.26,2016-05-05 22:55:00,2016-05-05,22,2016,5,126,22.4
"AVQ","2016-05-05 23:55",72.86,22.16,2016-05-05 23:55:00,2016-05-05,23,2016,5,126,22.7
"AVQ","2016-05-06 00:55",70,25.16,2016-05-06 00:55:00,2016-05-06,0,2016,5,127,21.1111111111111
"AVQ","2016-05-06 01:55",70.88,23.36,2016-05-06 01:55:00,2016-05-06,1,2016,5,127,21.6
"AVQ","2016-05-06 02:55",68.72,23.9,2016-05-06 02:55:00,2016-05-06,2,2016,5,127,20.4
"AVQ","2016-05-06 03:55",67.28,26.81,2016-05-06 03:55:00,2016-05-06,3,2016,5,127,19.6
"AVQ","2016-05-06 04:55",63.86,32.93,2016-05-06 04:55:00,2016-05-06,4,2016,5,127,17.7
"AVQ","2016-05-06 05:55",61.34,41.5,2016-05-06 05:55:00,2016-05-06,5,2016,5,127,16.3
"AVQ","2016-05-06 06:55",65.12,37.12,2016-05-06 06:55:00,2016-05-06,6,2016,5,127,18.4
"AVQ","2016-05-06 07:55",69.44,30,2016-05-06 07:55:00,2016-05-06,7,2016,5,127,20.8
"AVQ","2016-05-06 08:55",72,27.93,2016-05-06 08:55:00,2016-05-06,8,2016,5,127,22.2222222222222
"AVQ","2016-05-06 09:55",74.3,23.03,2016-05-06 09:55:00,2016-05-06,9,2016,5,127,23.5
"AVQ","2016-05-06 10:55",76,18.87,2016-05-06 10:55:00,2016-05-06,10,2016,5,127,24.4444444444444
"AVQ","2016-05-06 11:55",78.26,12.03,2016-05-06 11:55:00,2016-05-06,11,2016,5,127,25.7
"AVQ","2016-05-06 12:55",79.88,9.48,2016-05-06 12:55:00,2016-05-06,12,2016,5,127,26.6
"AVQ","2016-05-06 13:55",80.42,9.68,2016-05-06 13:55:00,2016-05-06,13,2016,5,127,26.9
"AVQ","2016-05-06 14:55",80.42,9.31,2016-05-06 14:55:00,2016-05-06,14,2016,5,127,26.9
"AVQ","2016-05-06 15:55",80.24,9.3,2016-05-06 15:55:00,2016-05-06,15,2016,5,127,26.8
"AVQ","2016-05-06 16:55",79.88,9.78,2016-05-06 16:55:00,2016-05-06,16,2016,5,127,26.6
"AVQ","2016-05-06 17:55",77.36,13.67,2016-05-06 17:55:00,2016-05-06,17,2016,5,127,25.2
"AVQ","2016-05-06 18:55",74.48,17.09,2016-05-06 18:55:00,2016-05-06,18,2016,5,127,23.6
"AVQ","2016-05-06 19:55",70.52,23.3,2016-05-06 19:55:00,2016-05-06,19,2016,5,127,21.4
"AVQ","2016-05-06 20:55",67,27.95,2016-05-06 20:55:00,2016-05-06,20,2016,5,127,19.4444444444444
"AVQ","2016-05-06 21:55",64.4,33.49,2016-05-06 21:55:00,2016-05-06,21,2016,5,127,18
"AVQ","2016-05-06 22:55",62.78,36.74,2016-05-06 22:55:00,2016-05-06,22,2016,5,127,17.1
"AVQ","2016-05-06 23:55",62,37.69,2016-05-06 23:55:00,2016-05-06,23,2016,5,127,16.6666666666667
"AVQ","2016-05-07 00:55",58.28,52.15,2016-05-07 00:55:00,2016-05-07,0,2016,5,128,14.6
"AVQ","2016-05-07 01:55",58,52.83,2016-05-07 01:55:00,2016-05-07,1,2016,5,128,14.4444444444444
"AVQ","2016-05-07 02:55",57,53.44,2016-05-07 02:55:00,2016-05-07,2,2016,5,128,13.8888888888889
"AVQ","2016-05-07 03:55",55.22,61.58,2016-05-07 03:55:00,2016-05-07,3,2016,5,128,12.9
"AVQ","2016-05-07 04:55",53.42,67.14,2016-05-07 04:55:00,2016-05-07,4,2016,5,128,11.9
"AVQ","2016-05-07 05:55",53.42,64.41,2016-05-07 05:55:00,2016-05-07,5,2016,5,128,11.9
"AVQ","2016-05-07 06:55",57.2,57.72,2016-05-07 06:55:00,2016-05-07,6,2016,5,128,14
"AVQ","2016-05-07 07:55",61,48.03,2016-05-07 07:55:00,2016-05-07,7,2016,5,128,16.1111111111111
"AVQ","2016-05-07 08:55",64.76,38.39,2016-05-07 08:55:00,2016-05-07,8,2016,5,128,18.2
"AVQ","2016-05-07 09:55",68.18,32.92,2016-05-07 09:55:00,2016-05-07,9,2016,5,128,20.1
"AVQ","2016-05-07 10:55",69.62,28.57,2016-05-07 10:55:00,2016-05-07,10,2016,5,128,20.9
"AVQ","2016-05-07 11:55",71.42,24.83,2016-05-07 11:55:00,2016-05-07,11,2016,5,128,21.9
"AVQ","2016-05-07 12:55",74.3,21.27,2016-05-07 12:55:00,2016-05-07,12,2016,5,128,23.5
"AVQ","2016-05-07 13:55",76.46,16.48,2016-05-07 13:55:00,2016-05-07,13,2016,5,128,24.7
"AVQ","2016-05-07 14:55",77.36,16.23,2016-05-07 14:55:00,2016-05-07,14,2016,5,128,25.2
"AVQ","2016-05-07 15:55",78.62,15.68,2016-05-07 15:55:00,2016-05-07,15,2016,5,128,25.9
"AVQ","2016-05-07 16:55",78,16.93,2016-05-07 16:55:00,2016-05-07,16,2016,5,128,25.5555555555556
"AVQ","2016-05-07 17:55",77,17.68,2016-05-07 17:55:00,2016-05-07,17,2016,5,128,25
"AVQ","2016-05-07 18:55",73,21.87,2016-05-07 18:55:00,2016-05-07,18,2016,5,128,22.7777777777778
"AVQ","2016-05-07 19:55",70.34,24.67,2016-05-07 19:55:00,2016-05-07,19,2016,5,128,21.3
"AVQ","2016-05-07 20:55",67.64,28.67,2016-05-07 20:55:00,2016-05-07,20,2016,5,128,19.8
"AVQ","2016-05-07 21:55",66.38,33.34,2016-05-07 21:55:00,2016-05-07,21,2016,5,128,19.1
"AVQ","2016-05-07 22:55",64.76,37.85,2016-05-07 22:55:00,2016-05-07,22,2016,5,128,18.2
"AVQ","2016-05-07 23:55",62.78,40.86,2016-05-07 23:55:00,2016-05-07,23,2016,5,128,17.1
"AVQ","2016-05-08 00:55",62.24,42.83,2016-05-08 00:55:00,2016-05-08,0,2016,5,129,16.8
"AVQ","2016-05-08 01:55",61,41.44,2016-05-08 01:55:00,2016-05-08,1,2016,5,129,16.1111111111111
"AVQ","2016-05-08 02:55",60.62,40.51,2016-05-08 02:55:00,2016-05-08,2,2016,5,129,15.9
"AVQ","2016-05-08 03:55",60.8,33.4,2016-05-08 03:55:00,2016-05-08,3,2016,5,129,16
"AVQ","2016-05-08 04:55",60,33.49,2016-05-08 04:55:00,2016-05-08,4,2016,5,129,15.5555555555556
"AVQ","2016-05-08 05:55",58.28,38.72,2016-05-08 05:55:00,2016-05-08,5,2016,5,129,14.6
"AVQ","2016-05-08 06:55",60,37.88,2016-05-08 06:55:00,2016-05-08,6,2016,5,129,15.5555555555556
"AVQ","2016-05-08 07:55",61.7,34.28,2016-05-08 07:55:00,2016-05-08,7,2016,5,129,16.5
"AVQ","2016-05-08 08:55",65,29.29,2016-05-08 08:55:00,2016-05-08,8,2016,5,129,18.3333333333333
"AVQ","2016-05-08 09:55",67.82,26.32,2016-05-08 09:55:00,2016-05-08,9,2016,5,129,19.9
"AVQ","2016-05-08 10:55",70.52,23.3,2016-05-08 10:55:00,2016-05-08,10,2016,5,129,21.4
"AVQ","2016-05-08 11:55",71.78,18.17,2016-05-08 11:55:00,2016-05-08,11,2016,5,129,22.1
"AVQ","2016-05-08 12:55",73.4,16.45,2016-05-08 12:55:00,2016-05-08,12,2016,5,129,23
"AVQ","2016-05-08 13:55",74.84,17.65,2016-05-08 13:55:00,2016-05-08,13,2016,5,129,23.8
"AVQ","2016-05-08 14:55",76.46,15.76,2016-05-08 14:55:00,2016-05-08,14,2016,5,129,24.7
"AVQ","2016-05-08 15:55",76.64,14.76,2016-05-08 15:55:00,2016-05-08,15,2016,5,129,24.8
"AVQ","2016-05-08 16:55",76.28,17.45,2016-05-08 16:55:00,2016-05-08,16,2016,5,129,24.6
"AVQ","2016-05-08 17:55",76,18.06,2016-05-08 17:55:00,2016-05-08,17,2016,5,129,24.4444444444444
"AVQ","2016-05-08 18:55",72.86,23.82,2016-05-08 18:55:00,2016-05-08,18,2016,5,129,22.7
"AVQ","2016-05-08 19:55",70,27.03,2016-05-08 19:55:00,2016-05-08,19,2016,5,129,21.1111111111111
"AVQ","2016-05-08 20:55",67,30.68,2016-05-08 20:55:00,2016-05-08,20,2016,5,129,19.4444444444444
"AVQ","2016-05-08 21:55",65,33.11,2016-05-08 21:55:00,2016-05-08,21,2016,5,129,18.3333333333333
"AVQ","2016-05-08 22:55",63.86,32,2016-05-08 22:55:00,2016-05-08,22,2016,5,129,17.7
"AVQ","2016-05-08 23:55",63.5,37.12,2016-05-08 23:55:00,2016-05-08,23,2016,5,129,17.5
"AVQ","2016-05-09 00:55",60.62,46.33,2016-05-09 00:55:00,2016-05-09,0,2016,5,130,15.9
"AVQ","2016-05-09 01:55",59.72,47.83,2016-05-09 01:55:00,2016-05-09,1,2016,5,130,15.4
"AVQ","2016-05-09 02:55",59.54,48.48,2016-05-09 02:55:00,2016-05-09,2,2016,5,130,15.3
"AVQ","2016-05-09 03:55",56.66,51.91,2016-05-09 03:55:00,2016-05-09,3,2016,5,130,13.7
"AVQ","2016-05-09 04:55",58,50.66,2016-05-09 04:55:00,2016-05-09,4,2016,5,130,14.4444444444444
"AVQ","2016-05-09 05:55",57.56,50.25,2016-05-09 05:55:00,2016-05-09,5,2016,5,130,14.2
"AVQ","2016-05-09 06:55",61.52,43.32,2016-05-09 06:55:00,2016-05-09,6,2016,5,130,16.4
"AVQ","2016-05-09 07:55",65.48,38.78,2016-05-09 07:55:00,2016-05-09,7,2016,5,130,18.6
"AVQ","2016-05-09 08:55",70,33.67,2016-05-09 08:55:00,2016-05-09,8,2016,5,130,21.1111111111111
"AVQ","2016-05-09 09:55",72.32,27.01,2016-05-09 09:55:00,2016-05-09,9,2016,5,130,22.4
"AVQ","2016-05-09 10:55",75.56,23.38,2016-05-09 10:55:00,2016-05-09,10,2016,5,130,24.2
"AVQ","2016-05-09 11:55",77,21.19,2016-05-09 11:55:00,2016-05-09,11,2016,5,130,25
"AVQ","2016-05-09 12:55",79.34,17.86,2016-05-09 12:55:00,2016-05-09,12,2016,5,130,26.3
"AVQ","2016-05-09 13:55",80.6,16.89,2016-05-09 13:55:00,2016-05-09,13,2016,5,130,27
"AVQ","2016-05-09 14:55",82.58,15.16,2016-05-09 14:55:00,2016-05-09,14,2016,5,130,28.1
"AVQ","2016-05-09 15:55",83.66,13.71,2016-05-09 15:55:00,2016-05-09,15,2016,5,130,28.7
"AVQ","2016-05-09 16:55",84,13.25,2016-05-09 16:55:00,2016-05-09,16,2016,5,130,28.8888888888889
"AVQ","2016-05-09 17:55",83.48,12.43,2016-05-09 17:55:00,2016-05-09,17,2016,5,130,28.6
"AVQ","2016-05-09 18:55",81.5,9.64,2016-05-09 18:55:00,2016-05-09,18,2016,5,130,27.5
"AVQ","2016-05-09 19:55",77.18,10.28,2016-05-09 19:55:00,2016-05-09,19,2016,5,130,25.1
"AVQ","2016-05-09 20:55",71.6,13.71,2016-05-09 20:55:00,2016-05-09,20,2016,5,130,22
"AVQ","2016-05-09 21:55",69.8,16.47,2016-05-09 21:55:00,2016-05-09,21,2016,5,130,21
"AVQ","2016-05-09 22:55",67,19.76,2016-05-09 22:55:00,2016-05-09,22,2016,5,130,19.4444444444444
"AVQ","2016-05-09 23:55",67,19.32,2016-05-09 23:55:00,2016-05-09,23,2016,5,130,19.4444444444444
"AVQ","2016-05-10 00:55",65.66,29.83,2016-05-10 00:55:00,2016-05-10,0,2016,5,131,18.7
"AVQ","2016-05-10 01:55",64.58,33.05,2016-05-10 01:55:00,2016-05-10,1,2016,5,131,18.1
"AVQ","2016-05-10 02:55",63.86,35.37,2016-05-10 02:55:00,2016-05-10,2,2016,5,131,17.7
"AVQ","2016-05-10 03:55",59.54,39.2,2016-05-10 03:55:00,2016-05-10,3,2016,5,131,15.3
"AVQ","2016-05-10 04:55",60.62,33.61,2016-05-10 04:55:00,2016-05-10,4,2016,5,131,15.9
"AVQ","2016-05-10 05:55",59.72,33.71,2016-05-10 05:55:00,2016-05-10,5,2016,5,131,15.4
"AVQ","2016-05-10 06:55",63.32,27.79,2016-05-10 06:55:00,2016-05-10,6,2016,5,131,17.4
"AVQ","2016-05-10 07:55",68.72,23.55,2016-05-10 07:55:00,2016-05-10,7,2016,5,131,20.4
"AVQ","2016-05-10 08:55",74.66,20.12,2016-05-10 08:55:00,2016-05-10,8,2016,5,131,23.7
"AVQ","2016-05-10 09:55",78.26,17.46,2016-05-10 09:55:00,2016-05-10,9,2016,5,131,25.7
"AVQ","2016-05-10 10:55",80.78,15.38,2016-05-10 10:55:00,2016-05-10,10,2016,5,131,27.1
"AVQ","2016-05-10 11:55",83.48,13.69,2016-05-10 11:55:00,2016-05-10,11,2016,5,131,28.6
"AVQ","2016-05-10 12:55",85.28,13.4,2016-05-10 12:55:00,2016-05-10,12,2016,5,131,29.6
"AVQ","2016-05-10 13:55",87,12.56,2016-05-10 13:55:00,2016-05-10,13,2016,5,131,30.5555555555556
"AVQ","2016-05-10 14:55",88.7,11.33,2016-05-10 14:55:00,2016-05-10,14,2016,5,131,31.5
"AVQ","2016-05-10 15:55",90,11.05,2016-05-10 15:55:00,2016-05-10,15,2016,5,131,32.2222222222222
"AVQ","2016-05-10 16:55",89.6,11.26,2016-05-10 16:55:00,2016-05-10,16,2016,5,131,32
"AVQ","2016-05-10 17:55",89,11.88,2016-05-10 17:55:00,2016-05-10,17,2016,5,131,31.6666666666667
"AVQ","2016-05-10 18:55",87,11.82,2016-05-10 18:55:00,2016-05-10,18,2016,5,131,30.5555555555556
"AVQ","2016-05-10 19:55",81.5,14.38,2016-05-10 19:55:00,2016-05-10,19,2016,5,131,27.5
"AVQ","2016-05-10 20:55",76,18.6,2016-05-10 20:55:00,2016-05-10,20,2016,5,131,24.4444444444444
"AVQ","2016-05-10 21:55",75.38,15.05,2016-05-10 21:55:00,2016-05-10,21,2016,5,131,24.1
"AVQ","2016-05-10 22:55",71.6,18.01,2016-05-10 22:55:00,2016-05-10,22,2016,5,131,22
